SchemeCode,SchemeName
Scheme Code,ISIN Div Reinvestment
150408,INF582M01IB4
150407,-
150456,INF582M01HY8
150406,INF582M01II9
150405,-
150457,INF582M01IF5
120792,-
102512,-
102514,-
102510,-
102511,INF789F01PS8
120791,INF789F01TK7
102509,INF789F01653
108646,INF194K01FE2
108753,-
111343,INF194K01FH5
108644,INF194K01FB8
131391,INF194KA1SJ1
118387,-
118390,INF194K01P46
131390,INF194KA1SM5
118388,INF194K01P79
118389,INF194K01Q03
131301,-
131304,INF740K011J0
131303,INF740K013J6
131302,INF740K015J1
131297,-
131298,INF740K014I6
131299,INF740K016I1
131300,INF740K018I7
131059,INF109KA1O29
131056,INF109KA1P10
131061,-
131055,INF109KA1P02
131053,INF109KA1O86
131054,INF109KA1O94
131051,-
131058,INF109KA1O11
131062,INF109KA1N95
131057,INF109KA1O03
120137,-
120136,INF200K01SJ9
101002,-
101003,INF200K01AP4
150423,INF789F1AVX5
150424,INF789F1AVZ0
150410,-
150415,INF789F1AVV9
150412,INF789F1AVT3
150419,INF789F1AVO4
150420,INF789F1AVQ9
150409,-
150416,INF789F1AVM8
150411,INF789F1AVK2
125349,INF579M01688
125345,-
125343,INF579M01696
125342,INF579M01563
125259,-
125337,INF579M01571
100047,-
119568,-
100046,INF209K01SQ5
119569,-
119571,-
119570,-
100041,INF209K01KN9
100048,INF209K01KY6
103885,-
100044,INF209K01KP4
100051,INF209KA1LJ9
112014,-
100043,-
100042,-
128954,-
120388,INF846K01DA0
120389,-
120391,INF846K01CZ9
120390,INF846K01DC6
112211,INF846K01420
112210,-
112213,INF846K01461
112212,INF846K01446
112712,INF846K01362
112713,-
112714,INF846K01404
112715,INF846K01388
151835,INF0QA701029
151838,INF0QA701045
151833,-
151836,INF0QA701052
151834,INF0QA701037
151839,INF0QA701136
151841,INF0QA701110
151837,-
151842,INF0QA701128
151840,INF0QA701102
108694,INF194K01VO8
108692,INF194K01VY7
108690,-
108693,INF194K01WE7
115489,INF194K01WB3
108691,INF194K01WH0
139582,-
139583,-
139584,-
139585,-
118365,INF194K01J28
118367,INF194K01J51
118366,INF194K01I78
118364,-
118363,INF194K01I94
141887,-
141889,-
141888,-
141890,-
119368,INF761K01CL0
119369,-
119370,INF761K01CM8
111971,INF761K01CO4
109254,-
109255,INF761K01CP1
119414,-
119415,-
119416,-
139344,-
116803,INF955L01542
111707,INF955L01476
111704,-
111705,INF955L01500
142248,-
142246,-
142245,-
142247,-
101408,-
101407,INF955L01567
101409,INF955L01526
118307,INF760K01FS0
118305,-
118304,-
118306,INF760K01FW2
118308,INF760K01FX0
109349,INF760K01CU3
109353,-
109351,INF760K01CY5
109350,INF760K01CZ2
139235,-
119125,-
119124,INF740KA1OB6
119123,INF740KA1OD2
103347,-
103348,INF740K01FL7
103349,INF740KA1OE0
140194,-
140196,-
140198,INF754K01GN2
140192,INF754K01GT9
140193,INF754K01GP7
140199,INF754K01GR3
140197,INF754K01GS1
140195,INF754K01GQ5
140189,-
140182,-
140190,INF754K01GL6
140188,INF754K01HP5
140181,INF754K01HA7
140184,INF754K01HC3
140183,INF754K01HD1
140185,INF754K01HB5
140176,-
140178,INF754K01HG4
140177,INF754K01HF6
140180,INF754K01HI0
100541,INF090I01BA3
100538,-
100537,INF090I01BI6
118577,-
100547,INF090I01BF2
118578,-
118579,INF090I01JY6
100546,-
100548,INF090I01BH8
139892,-
139890,-
139891,-
139889,-
102441,-
102443,INF090I01BC9
102442,INF090I01BE5
119135,-
119136,INF666M01469
115991,-
119138,INF666M01485
119139,INF666M01493
119137,INF666M01477
115992,INF666M01022
115995,INF666M01055
115993,INF666M01030
115994,INF666M01048
119091,-
100868,-
100875,INF179KB1IC5
119089,INF179KB1HV7
100876,INF179KB1HL8
119090,INF179KB1HQ7
100874,-
119088,-
100878,-
100881,-
100872,-
120038,-
120037,INF336L01CB0
120039,INF336L01CA2
120040,INF336L01CD6
118907,-
118906,INF336L01BK3
118909,INF336L01BS6
118901,INF336L01BM9
118902,-
118903,INF336L01BO5
118904,INF336L01BQ0
118908,INF336L01BR8
100357,INF109K01UT7
100359,-
130933,-
103343,-
120198,INF109K01Q07
120187,INF109K01Q64
120191,INF109K01Q23
120188,INF109K01Q15
120197,-
120189,-
120196,INF109K01Q80
120190,-
130934,-
103340,-
104308,INF109K01UW1
115505,INF109K01VT5
103344,-
139434,-
139432,-
139433,-
139431,-
103342,-
103341,-
112119,INF109K01VC1
101748,-
101753,-
101754,-
101750,-
101755,-
101752,-
101751,-
122786,-
104484,INF205K01HN3
120537,-
120536,INF205K01MH5
120535,INF205K01MI3
120534,INF205K01ME2
104486,-
104492,INF205K01HP8
104488,-
104489,INF205K01HH5
139390,-
139389,-
139388,-
139387,-
104485,INF205K01HO1
147161,INF00XX01333
147158,INF00XX01291
147160,INF00XX01317
147157,-
147163,INF00XX01325
147159,INF00XX01309
147162,INF00XX01242
147154,INF00XX01200
147155,INF00XX01226
147153,-
147156,INF00XX01234
147164,INF00XX01218
120410,-
120411,INF192K01CH6
120406,-
120408,INF192K01CL8
120407,INF192K01CJ2
100244,INF192K01874
100247,-
100233,INF192K01858
100234,-
148414,-
148413,-
148415,-
139258,-
139260,-
139257,-
139259,-
101549,-
101078,INF192K01833
119764,INF174K01NH1
119766,-
100833,INF174K01NL3
100835,-
120248,INF767K01DM3
120249,-
151930,INF397L01AJ9
151932,INF397L01AL5
101184,INF767K01IR1
101185,-
151928,INF397L01968
151927,INF397L01943
139535,INF174V01051
139536,INF174V01069
139538,-
139534,INF174V01028
139537,-
139541,INF174V01036
139540,-
139539,-
118859,-
118862,INF769K01CP4
118861,INF769K01CO7
118860,INF769K01CQ2
111647,INF769K01804
111646,-
111645,INF769K01820
111644,INF769K01812
145834,-
145946,-
147442,-
147441,-
147443,-
147444,-
146218,INF247L01783
146226,INF247L01759
146223,INF247L01767
146228,INF247L01742
146229,INF247L01809
146227,INF247L01817
146230,INF247L01825
146220,INF247L01833
146222,INF247L01858
146224,INF247L01874
119163,INF959L01GK1
119161,INF959L01GH7
119162,INF959L01GJ3
112645,INF959L01GM7
112647,INF959L01GO3
112646,INF959L01GQ8
119164,-
112636,-
140437,-
139386,-
100852,INF204K01UM1
118695,INF204K01ZG2
118696,INF204K01ZJ6
118698,INF204K01ZL2
118700,INF204K01ZM0
118701,-
100855,INF204K01UP4
112340,INF204K01UR0
100837,-
100842,INF204K01UJ7
100843,INF204K01UU4
100844,INF204K01UW0
100838,INF204K01UK5
100853,INF204K01US8
100851,-
100849,-
100845,-
114251,-
114252,-
100848,-
138306,-
138305,-
138302,-
138296,INF223J01NP1
138300,-
138303,-
138294,INF223J01IO4
138284,-
138292,INF223J01IQ9
138278,-
138283,-
138282,-
138304,-
138286,-
138285,INF223J01BO9
138297,-
138299,-
138298,INF223J01NU1
138301,INF223J01NW7
138288,-
138287,-
138289,-
138280,INF223J01BI1
138279,INF223J01BS0
138281,-
143263,INF879O01118
143269,-
143262,INF879O01084
143265,INF879O01134
143264,INF879O01126
143260,-
143261,INF879O01050
143266,INF879O01142
120837,-
103225,-
120838,INF966L01812
103228,INF966L01309
120839,INF966L01804
103227,INF966L01283
120836,INF966L01770
103226,INF966L01275
148513,-
148510,-
148511,-
148512,-
103736,INF082J01135
103734,-
103735,INF082J01200
141065,INF082J01317
141066,-
141067,INF082J01333
152299,-
152298,-
152301,-
152300,-
119804,INF200K01US6
119805,INF200K01UQ0
119799,INF200K01UV0
119800,-
105274,-
105275,INF200K01LR7
105279,INF200K01LT3
105278,INF200K01LW7
105281,INF200K01LX5
105283,INF200K01LZ0
105282,INF200K01MC7
105280,-
153035,-
153036,-
153282,-
153283,-
153280,-
153281,-
149744,INF903JA1JK3
149742,INF903JA1JI7
149663,INF173K01GT2
149658,INF173K01DB7
149664,-
149660,INF173K01DE1
149662,INF173K01GW6
149661,-
149738,INF903JA1JJ5
